Question,Answer
119 소방사랑 카드는 뭔가요 ?,"119 소방사랑 카드는 대한 소방공제회와 제휴하여 발급된 카드로 보험관련 서비스가 추가로 제공됩니다. 119 소방사랑카드의 주요서비스는 다음과 같습니다. 상해보험 무료가입 서비스 및 수술위로금 제공 1) 현대화재보험 2) 보험제공 주체: 대한소방공제회, 신한카드 공동제공 3) 보험혜택 및 제공대상 ① 업무중 상해(사망 및 100% 후휴 장애시) 5,000만원 ② 교통상해(사망 및 100% 후휴 장애시) 3,000만원 ③ 골절 수술 위로금(수술 1회당) 20만원 ④ 화상 수술 위로금(수술 1회당) 20만원 4) 제공대상 ① 최초 가입 1년간 119소방사랑 신한카드 발급회원 전원에게 무료보험 제공 (카드 확정일로부터 보험적용, 2차년도부터는 전년도 일시불과 할부 이용금액 1백만원 이상 이용 시 1년씩 자동연장됨) ② 본인카드 해지 및 미사용시 가족카드 사용여부 상관없이 보험적용 불가 ※ 카드발급 후 1년 이상 장기 미사용자가 재발급을 받을 경우 카드 가입 즉시 보험혜택이 제공되는 것이아니라 회원의 119소방사랑 신한카드 최초 가입일이 도래하는 시점부터 보험혜택이 제공됨 ※ 119 소방사랑 카드의 보다 자세한 내용은 신한카드 홈페이지 카드 > 카드소개 > 신용카드 > 공공 > 지역특화카드 > 119 소방사랑 빅플러스 GS칼텍스 카드 경로를 통해 확인 가능합니다. 참고사항 1. 본 카드의 서비스 내용은 신한카드 및 제휴사 사정에 따라 사전 고지 후 변경 또는 중단될 수 있으며 카드 이용금액에 따라 제한될 수 있습니다. 2. 별도의 이벤트를 진행하지 않는 한 타 쿠폰 및 타 신용카드, 통신계 카드 등 혜택의 중복 적용은 불가합니다. "
기프트카드를 선물할 사람에게 직접 배송시킬 수 있나요?,신한카드 지점 및 신한은행 영업점에서 직접 방문하여 구매하셔야 하므로 배송은 불가합니다. 
기프트카드에 대해서 알고 싶어요. ,"무기명 선불카드로 본인 사용은 물론 누구에게나 선물 가능한 상품권식 선불카드입니다. 기프트카드의 유효기간(5년)은 카드표면에 기재되어있으며 기간 만료 시 카드사용이 불가하므로 소멸시효 경과 전에 재발급 받으신 후 사용하시기 바랍니다. - 구매안내 : 5만원권, 10만원권, 20만원권, 30만원권, 40만원권, 50만원권 등이 있으며, 신한은행 영업점에서 구매하실 수 있습니다. 1. 개인 구비서류: 본인 실명증표 2. 법인 구비서류 1) 개인명의 법인카드 : 본인 실명증표, 위임서류(구매신청서 하단 위임장과 법인인감증명서) 2) 법인명의 법인카드, 현금 구매 : 사업자등록증, 대리인 신분증, 위임서류(구매신청서 하단 위임장과 법인인감증명서) - 이용방법 1. 기프트카드 사용 전 사용개시 스티커를 제거하시기 바랍니다. 사용개시 스티커가 제거되거나 훼손된 카드는 불법정보도용에 의한 부정사용 위험이 있습니다. 2. 기프트카드 수령등록 후 이용 가능합니다. 1) 홈페이지: 개인>기프트카드>기프트카드 수령등록 2) ARS(☎ 1544-7500): 2번 신한 기프트카드 이용>1번 기프트카드 수령등록 3. 일반 신용카드 이용방법과 동일하며(결제 후 매출전표에 서명), 국내 신한카드 가맹점에서 이용횟수에 관계없이 자유롭게 사용 가능합니다. ※ 단, 결제금액이 잔액을 초과할 경우 승인이 거절될 수 있으며, 이 경우 신용카드 및 현금 등을 이용한 복수 결제 방식으로 이용하실 수 있습니다(온라인 가맹점 제외). 4. 온라인 쇼핑몰에서 이용하시려면 먼저 '기프트소지자정보등록' 후 사용 가능합니다. 5. 충전식(RE+PLUS) 기프트는 신한카드 홈페이지에서 충전내역 조회 및 기 충전액 포함하여 최대 50만원까지 재충전하여 사용 가능합니다(충전 채널 확대 예정). - 이용취소 1. 승인취소: 기프트카드 사용점에서 승인취소 시, 사용금액은 즉시 복구됩니다. 2. 매출취소: 매출취소 시 취소전표 접수 등에 시간이 소요되어 사용금액 복구까지 3~7일 정도 소요됩니다. -잔액조회 1. 매출전표: 기프트카드를 사용하신 매출전표를 통하여 잔액확인 가능(일부 가맹점 제외) 2. 전화 ARS: 고객센터(☎ 1544-7500/☎ 1566-7500 3번>2번)를 통해서 조회 가능 3. 홈페이지: 신한기프트카드 홈페이지의 잔액조회 메뉴에서 조회 가능 4. 신한은행 ATM: 신한은행 자동화기기 화면에서 기타업무>기프트카드 환불>잔액조회에서 가능 유의사항1. 선불/기프트카드 특성상 할부 결제나 현금서비스 등은 이용하실 수 없습니다. 2. 기프트카드 도난/분실시 기프트카드가 본인소유카드임을 증명(기프트카드 소지자정보 등록) 가능하거나 관할법원(미제시증명원 제출)에 공시최고 및 제권판결 절차를 통해 확정된 제권판결문을 첨부하실 경우 보상처리가 가능합니다.※ 소지자정보 등록방법안내: 홈페이지>카드>기프트카드>기프트카드소지자정보등록 3. 자기력 등으로 인해 마그네틱이 손상될 수 있으며 카드손상 시 해당카드와 신분증을 지참 후 신한카드 지점 또는 신한은행 영업점을 방문해주시기 바랍니다. 4. 전액 사용하셨더라도 구매 취소가 발생할 경우를 대비하여 일정기간 카드를 보관해주시기 바랍니다.(매출취소 후 카드를 폐기하신 경우 보상이 불가합니다.) 5. 기프트카드의 유효기간은 5년으로 카드표면에 기재되어 있으며 기간만료 시 카드사용이 불가합니다. 6. 유효기간이 만료된 경우에는 소멸시효(유효기간 만료월 +5년) 경과 전까지 기프트카드를 재발급 받으신 후 사용하시기 바랍니다. 7. 신한카드 홈페이지, 신한은행 영업점에서 본인인증 사용등록 후 이용분부터 소득공제 혜택과 온라인 사용이 가능합니다. 8. 권면가의(충전식(RE+PLUS) 기프트는 충전누적액) 80% 이상 사용 시 신한카드(지점/홈페이지/ARS), 신한은행(영업점/ATM)에서 잔액 환불이 가능합니다.(지점 방문 시 본 카드와 신분증 지참)"
기프트카드를 잃어버렸어요. 어떻게 해야 하나요?,기프트카드가 본인소유카드를 증명 (*기프트카드 소지자정보 확인)가능하거나 관할법원(미제시증명원 제출)에 공시최고 및 제권판결 절차를 통해 확정된 제권판결문을 첨부할 경우 보상처리가 가능합니다.1)소지자정보가 등록된 기프트카드에 대하여 보상처리가 가능합니다. 보상범위는 아래와 같습니다. : 소자자정보(01357)화면에서 고객일치여부 확인하여 재발급 or 환불처리① 2017/03/01 이전 소지자정보를 등록한 기프트카드 - 보상범위 : 분실신고 시점 남은 잔액에 대하여 보상 - 보상방법 : 신한은행영업점에서 재발급/환불 처리 (신분증지참必) ② 2017/03/01 이후 소지자정보가 등록된 기프트카드 - 보상범위 : 분실신고 시점 남은잔액 & 분실신고시점 60일전까지의 부정사용금액을 포함하여 보상처리 - 보상방법 ⓐ 분실신고 시점 남은잔액 - 신한은행영업점에서 재발급/환불 처리 (신분증지참必) ⓑ 분실신고시점 60일전 부정사용금액 - 보상처리수수료(2만원) 및 조사요청서 작성 2)소지자정보가 등록되지않은 기프트카드는 관할법원에 공시최고 및 제권판결 절차를 통해 확정된 ‘제권판결문’ 을 첨부할 경우 보상이 가능합니다
기프트카드 사용 후 매출취소를 하면 잔액은 언제 복구되나요?,"승인취소 및 매출 취소 시, 잔액 반영시점은 다음과 같습니다.1. 승인 취소 시 잔액은 즉시 반영됩니다. 2. 매출 취소 시 취소전표 접수 및 확정 등으로 인하여 잔액 반영까지 대략 3~4일 정도 기간이 소요됩니다. "
기프트카드 소지자정보등록이 뭔가요?,"소득공제혜택 및 온라인 쇼핑몰에서 사용 가능하도록 하기 위하여 본인 공인인증 및 카드인증으로 본인확인 등록절차를 거쳐 비밀번호가 생성되면 온라인 쇼핑몰 및 소득공제 혜택적용이 가능합니다.- 신청채널: 홈페이지/모바일, 신한은행 영업점 - 홈페이지: 카드소개>기프트카드>기프트카드소지자정보등록※ 소득공제 적용은 기프트카드소지자정보등록 이후 매출건부터 적용됩니다. ※ 기프트카드를 타인에게 양도 시 이미 등록하신 기프트카드 소지자정보를 등록해지후 양도하시기 바랍니다. "
기프트카드 잔여 한도를 조회할 수 있나요?,"기프트카드 잔액조회 방법은 다음과 같습니다.1) 영수증: 카드 이용 후 가맹점으로 받은 영수증 하단 표기(일부 가맹점 제외) 2) 홈페이지: 카드소개>기프트카드>잔액조회 3) ARS: ☎ 1544-7500, ☎ 1566-7500>3번 기프트카드 서비스>2번 잔액조회)4) 신한은행 ATM기: 기타업무→기프트카드 환불→잔액확인 5) 휴대폰 문자서비스(잔액알림 SMS서비스): 카드이용 시 이용내역과 잔액정보를 휴대폰 문자메시지로 받아볼 수 있는 서비스로, 온라인 사용등록을 하신 후 신청 가능합니다.6) 신청채널: 홈페이지, 신한은행 영업점 ※ 홈페이지: 카드소개>기프트카드>사용내역/잔액조회환불>잔액알림 SMS신청/해지 "
기프트카드를 신용카드로 구매 시 포인트/마일리지 적립이 되나요?,신용 또는 체크카드로 결제하신 기프트카드 구매금액은 포인트 및 마일리지 등 적립 대상에서 제외됩니다.
기프트 카드 잔액 환불 방법을 알고 싶어요.,"기프트카드의 잔액이 권면가의 20% 이하인 기프트카드를 소지하고 계신 경우 카드지점 및 은행영업점, ARS를 통해 환불 요청이 가능합니다. 1. 홈페이지 1) 신한 신용카드 소지 고객만 가능하며 신한 신용카드 선입금액으로 처리 또는 본인 계좌로 환불 2) 신한카드 홈페이지 카드>카드소개>기프트카드>사용내역/잔액조회/환불>환불/환불내역조회 경로를 통해 환불 신청 가능 3) 24시간 환불 신청 가능하며 신한 신용카드로의 선입금은 신청일로부터 1~2일 소요 2. 신한카드 지점 1) 해당 기프트카드(반납원칙), 본인 신분증 지참 2) 환불금액은 요청 계좌로 입금되며, 평일 오전 9시 30분~오후 4시까지 환불 가능(지점 업무 시간 내, 주말 및 공휴일 불가) 3. 신한은행 영업점 1) 영업점 방문 : ① 해당 기프트카드(반납원칙), 본인 신분증 지참 ② 환불금액은 신한은행 계좌 이체 또는 현금으로 바로 지급되며 평일 오전 9시 30분~오후 4시까지 환불가능(영업점 업무 시간내, 주말 및 공휴일 불가) 2) 자동화기기 환불 : ① 신한은행 ATM에서 해당 기프트카드 투입 후 기타업무>기프트카드 환불>환불신청 경로를 통해 환불요청 가능 ② 신한은행 또는 타행 계좌이체 가능하며 평일 오전 9시~오후 10시까지 환불 가능(주말 및 공휴일 불가) 4. ARS 1) 신한 신용카드 소지 고객만 가능하며 ARS(☎ 1544-7500, ☎ 1566-7500) 연결>3번>3번 경로를 통해 환불요청 가능 2) 24시간 환불가능하며 환불금액은 신한 신용카드 선수금으로 입금(신한 신용카드로의 선입금은 신청일로부터 1~2일 소요) "
기프트카드를 신용카드로도 구매할 수 있나요?,"신한 기프트카드는 현금은 물론 신한 신용카드, 신한 BC카드, 신한 체크카드, 마이신한포인트로도 구매 가능합니다. 구매수단 및 구매한도는 다음과 같습니다.1. 개인 신용카드1) 고객 한분당 상품권 구입(충전식 기프트 충전금액 포함)과 선불카드 충전액을 합산하여 월 100만원 한도 내에서 구입 가능2) 마이신한포인트 구입액은 개인신용카드 월 100만원 한도와 별개로 추가 구입 가능3) 월 100만원 구매 한도는 매월 1일~말일 기준이며 다음달 1일에 구입한도 신규 생성2. 법인 신용카드 : 카드한도 내에서 구입가능하나 기업에 따라 판매 한도가 제한될 수 있습니다.3. 체크카드 : 계좌 잔액한도 내에서 구입 가능하며, 체크카드 1일 한도와 월 한도에 따라 바뀔 수 있습니다. 4. 현금구매와 카드구매는 각각 별도 한도로 운영됩니다.※ 참고사항신한카드 지점 또는 신한은행 영업점 구매 시 카드와 신분증 등 필요서류 소지 후 구매 본인이 직접 방문 신청하는 것을 원칙으로 합니다."
기프트카드의 비밀번호 분실/오류입력으로 사용이 되지 않아요.,기프트카드의 비밀번호를 잊어버리셨거나 다른 비밀번호로 변경을 원하시는 경우 본인 인증과정을 거쳐 새로운 비밀번호를 등록하실 수 있습니다. 홈페이지 > 카드 > 카드소개 > 기프트카드 > 소지자정보관리 > 비밀번호 변경을 통해 등록 가능합니다.
발급한 기프트카드가 손상되어 사용할 수 없어요.,기프트카드 잔액이 권면가의 40% 이상인 카드 중 해당 기프트카드가 훼손되어 사용이 어려운 경우 해당 기프트카드와 신분증을 지참하여 신한카드 카드지점 또는 신한은행 영업점으로 직접 방문하시면 재발급 받으실 수 있습니다.
인터넷쇼핑몰에서 기프트카드를 이용할 때 결제수단은 무엇을 선택해야 하나요?,"기프트카드를 인터넷 쇼핑몰에서 사용하시려면 반드시 기프트카드 소지자정보등록이 되어 있어야 하며 결제 시 일반결제 서비스를 이용하셔야 합니다.인터넷 사용등록 및 일반결제 서비스 등록 후에는 신한카드 신용카드 이용방법과 동일하게 결제수단은 신용카드로, 신용카드 종류는 신한카드로 선택하시면 됩니다."
모든 종류의 신한카드가 모바일 후불교통카드로 신청/발급 가능한가요? ,"아닙니다. 현재 발급이 가능한 상품은 하단 링크에서 확인이 가능합니다.
모바일 후불교통카드 가능 카드상품보기 www.shinhancard.com/conts/person/popup/popup_mobilePaypro.html"
모바일카드를 해지하고 싶습니다.,"고객센터(☎ 1544-7000)를 통해 모바일카드를 해지하시면 됩니다. 다만, 모바일카드는 해지하더라도 유심칩에 정보가 남아 있으며 완전한 폐기를 위해서는 유심칩을 교체해야 합니다. "
모바일카드를 분실하였습니다.,휴대폰을 분실한 경우 통신사에 신고하는 분실신고와는 별도로 카드사에 모바일카드 분실신고도 해야 합니다. 해당 내용은 모바일카드 앱의 공지사항에도 게시되어 있으며 모바일카드 분실 신고 시 타인이 사용할 수 없도록 안전하게 거래 일시정지 상태가 되며 추후 휴대폰을 다시 찾은 경우 분실신고 해제를 통해 다시 사용 가능합니다. 
모바일카드로 발급 가능한 상품은 어떤 종류가 있나요?,현재 모든 카드가 모두 모바일 카드로 발급이 가능하지는 않으나 지속적으로 발급을 확대할 예정입니다. 현재 발급 가능한 모바일 카드 상품은 홈페이지 개인 > 카드 > 모바일 > 모바일카드 > 신한 유심카드 > 유심카드 소개 메뉴에서 확인 가능합니다. 
모바일카드로 발급 가능한 브랜드는 무엇인가요?,"모바일카드는 비자, 마스터 브랜드로만 발급이 가능합니다. 국내 전용 및 URS 브랜드의 플라스틱 카드를 발급받은 경우도 모바일 카드는 비자, 마스터 브랜드만 발급 가능합니다. 단, 개별 카드의 상품 정책상 비자, 마스터로 모바일카드 발급이 불가한 상품이 있을 수 있습니다."
모바일카드로 교통카드를 이용할 수 있나요?,"현재 모바일 유심카드의 후불교통기능은 특정 지역(울산)에서 시범적으로 시행하고 있습니다. 기타 지역에서 유심카드로 교통기능(지하철, 버스)를 이용하실 수는 없으나, NFC 기능이 지원되는 안드로이드 단말기에서는 교통카드 사업자(예: 티머니)의 모바일 후불형교통서비스를 이용하실 수는 있습니다. 자세한 내용은 신한카드 홈페이지의 모바일 티머니 내용 및 티머니 홈페이지의 안내를 참고하여 이용해 주시기 바랍니다. "
모바일카드 연회비는 얼마인가요?,"모바일 카드를 추가 발급해도 기존 플라스틱 카드에 부과되는 연회비 외에 추가로 청구되는 연회비는 없습니다. 국내전용, URS 브랜드 플라스틱 카드를 소지한 고객이 비자, 마스터 브랜드 모바일 카드를 발급받아도 연회비는 국내전용, URS 브랜드 기준으로 부과됩니다. (서비스 연회비도 추가 청구되지 않음)."
모바일카드 분실신고 해제는 어떻게 하나요 ? ,"모바일카드 분실신고를 한 고객이 핸드폰을 다시 찾은 경우, 플라스틱 카드를 다시 찾은 경우와 다르게 분실코드 등재로 인해 신한모바일카드 앱에서 카드 정보조회가 불가능하므로 고객이 보유한 다른 신용카드로 본인 인증한 후 분실신고 해제가 가능합니다. "
모바일카드 발급 시 본인인증 단계에서의 카드정보는 어떤 카드를 말하나요?,"카드정보 입력은 본인인증을 위한 단계로서 모바일카드 사용 등록과 무관합니다.(모바일카드는 사용등록 절차가 없음) 따라서, 소지하고 있는 본인 명의의 유효한 신한카드(신용 및 체크) 정보를 입력한 후 인증이 가능하며 모바일카드 발급 신청 상품과 별개의 카드 정보를 입력해도 무방합니다단, 가족카드는 정보 입력시 인증 불가 "
모바일카드 간편신청은 무엇인가요?,모바일 카드 간편 신청은 모바일 카드가 발급 가능한 제휴상품을 이미 플라스틱 카드로 소지하고 있는 경우 모바일 카드만 추가 신청하는 서비스이며 홈페이지 로그인 후 신청하실 수 있습니다. 홈페이지 신청 경로 개인> 카드> 모바일카드> 신한 유심카드> 신청하기 
모바일카드 가맹점에서 결제가 되지 않습니다.,"1. 계산 단말기와 RF리더기가 정상적으로 연결 및 설정되어 있지 않거나 단말기가 노화된 경우결제오류가 발생한 가맹점 및 오류 내용을 모바일 전담 고객센터(☎ 1544-9955)로 문의 바랍니다. 2. 스마트폰의 RF기능이 정상적으로 작동하지 않는 경우 1) NFC기능 지원 스마트폰에서 설정 > 무선 및 네트워크 설정 > NFC항목과 읽기쓰기, P2P 사용에 체크하여 활성화 시킵니다. 2) 일반 금융기능 지원 스마트폰에서 갤럭시S1의 경우 RF배터리 커버가 장착되었는지 확인합니다. (휴대폰 구입 시 기본 제공되는 배터리 커버가 아니며, 삼성전자 서비스센터에서 별도 구매해야 함) "
모바일 카드와 플라스틱 카드의 번호 및 카드정보가 다릅니다.,모바일 카드는 플라스틱 카드와 별도의 카드로 카드번호도 새롭게 지정됩니다. 이에 온라인 쇼핑 시 모바일 카드로 결제하기 위해서는 모바일 카드 앱에서 카드정보를 조회한 후 일반결제(안심클릭) 등에 입력하셔야 합니다. 
모바일 카드만 추가로 발급받을 수 있나요?,"신청하려는 모바일 카드와 동일상품의 플라스틱 카드를 이미 소지한 경우 모바일 카드만 추가 신청이 가능합니다. 다만, 동일상품의 플라스틱 카드 없이 모바일 카드만 소지하는 것은 불가능합니다. "
모바일 카드 다운로드 후 삭제 가능한가요?,"모바일 카드를 다운로드 완료한 경우 모바일 카드는 유심칩에서 삭제가 불가합니다. 다만, 모바일 카드를 해지하면 모바일 카드 앱에서 노출되지 않으며 거래 또한 되지 않습니다. 모바일 카드 해지 후에도 통신사 월렛 앱에서는 해지 완료된 모바일 카드가 조회될 수 있으며 월렛 앱에서도 조회되지 않기를 원하는 경우 모바일 전담 고객센터(☎ 1544-9955)로 별도 문의 바랍니다. "
모바일 카드 다운로드 과정에서 앱이 강제 종료됩니다,"모바일 카드 다운로드 과정에서 주민번호 입력 시 ""신청하신 카드가 없습니다"" 혹은 ""요청하신 애플릿은 지원하지 않습니다""라는 메세지와 함께 앱이 종료되는 경우는 모바일 카드 발급 준비가 완료되지 않은 상태입니다. 신청하신 플라스틱 카드가 정상적으로 도착했는지 확인해 주시기 바랍니다. 동일 현상이 지속되는 경우 모바일 전담 고객센터(☎1544-9955)로 문의 바랍니다. "
모바일 카드 다운로드 SMS 재발송 신청해주세요.,모바일 카드 다운로드 가능한 SMS 재발송 신청은 모바일 전용 고객센터(☎1544-9955)로 문의하거나 통신사의 앱 스토어에서 신한 모바일카드를 검색하여 설치하면 편리하게 모바일 카드를 발급받을 수 있습니다. 
모바일 카드 다운로드 SMS 발송 중단해주세요.,신청하신 모바일 카드 다운로드 의사가 없으나 지속적으로 모바일 카드 다운로드 SMS가 발송되는 경우 모바일 전담 고객센터(☎1544-9955)로 문의 바랍니다. 
모바일 티머니 후불형 서비스(체크) 청구는 어떻게 이루어지나요? ,"모바일 티머니 체크카드 서비스의 청구는 매입 다음날 고객님의 체크카드 계좌를 통해 이루어 집니다. 매입은 일반적으로 ‘모바일 티머니 체크카드 서비스’ 사용 다음날 이루어지며, 교통기관의 사정에 따라 변경될 수 있습니다. "
모바일 티머니 후불형 서비스(체크) 계좌잔액이 부족합니다. ,"계좌잔액이 부족할 경우 고객님의 체크신용한도가 차감됩니다. 단, 청구금액이 정상적으로 입금될 경우 고객님의 체크신용한도는 복원됩니다. "
모바일 티머니 후불형 서비스 이용금액에 대한 소득공제가 가능한가요? ,"모바일 티머니 후불형 서비스 이용금액은 소득공제에 포함되지 않습니다.단, 모바일 티머니 앱에서 소득공제를 신청하시면 등록한 카드에 상관없이 신용/체크카드와 동일하게 소득공제가 제공됩니다.소득공제 등록은 모바일 티머니 앱>설정>소득공제에서 하실 수 있습니다. "
대중교통이 이용 시 할인이나 포인트 적립이 되는 카드를 등록하면 모바일 티머니 후불형 서비스 이용 시에도 동일하게 할인이나 포인트 적립이 되나요? ,"모바일 티머니 후불형 서비스 이용 금액에 대하여는 신한카드가 제휴하여 제공하는 신용/체크카드의 부가 서비스(예: 지하철, 버스, 편의점 등에서 이용한 금액에 대한 할인/포인트 적립 등)는 제공되지 않습니다. "
"모바일 티머니 후불형 서비스 이용 시, 학생할인이 가능한가요? ",모바일 티머니 앱에서는 학생할인은 적용되지 않습니다. 
모바일 티머니 후불형 서비스에 장애인카드를 등록하면 지하철을 무료로 이용할 수 있나요? ,모바일 티머니 앱에서는 장애인 무료 서비스를 제공하지 않습니다. 
휴대폰을 분실한 기간 동안 모바일 티머니 후불형 서비스 이용한 내역이 청구되었습니다. ,휴대폰 분실 후 타인이 습득하여 이용한 경우에는 티머니에서 책정한 보상정책에 의해 보상이 가능합니다.상세한 사항은 티머니로 문의 바랍니다. 
카드를 분실했습니다. ,"신용카드 분실신고를 하면 일반 플라스틱카드는 이용하실 수 없습니다. 단, 모바일 티머니 후불형 서비스의 경우 다음 한도부여 시간(다음날 새벽)까지 이용 가능하며, 이용하신 내역은 정상 청구됩니다. "
휴대폰을 분실했습니다. ,휴대폰을 분실한 경우 이동통신사 뿐만 아니라 티머니 측에도 분실신고를 부탁 드립니다. 분실된 휴대폰으로 모바일 티머니 후불형 서비스 이용이 가능하기 때문입니다. 
모바일 티머니 후불형 서비스 청구서상의 이용건수와 금액이 틀립니다. ,"청구서상의 이용건수는 개별 이용건수가 아니라 이용일자 기준입니다. 예를 들어 이용 일자가 20일, 총 개별 이용건수가 100건이라고 하면 청구서 상에는 이용건수가 20건으로 표시됩니다. 금액이 다른 경우 별도 확인이 필요하므로 티머니 측에 문의 바랍니다. "
모바일 티머니 후불형 서비스 실제 이용일자와 청구된 날짜가 틀립니다. ,모바일 티머니 후불형 서비스(신용)은 실제 이용일자가 아닌 매입일자 기준으로 청구됩니다. 통상 이용일자 다음날 매입이 이루어지나 사용시간에 따라 당일 매입되기도 합니다. 또한 휴대폰 전원이 꺼져 있는 경우 등으로 인해 매입이 늦어질 수도 있습니다. 
모바일 티머니 후불형 서비스(신용) 청구기준이 어떻게 되나요? ,모바일 티머니 후불형 서비스(신용)의 경우 회원님이 직접 사용하신 날이 아닌 매입일(통상 이용 다음날)을 기준으로 하여 일반 신용카드와 동일한 신용제공기간을 부여해 청구합니다.예) 결제일 21일인 경우 실제이용기간: 전월 7일~당월 6일 매입기간: 전월 8일~당월 7일 결제일: 당월 21일 
모바일 티머니 후불형 서비스 청구서에 1일 이용내역이 보이지 않습니다. ,"청구서에는 ‘모바일 티머니 후불형 서비스(신용)’ 1개월 이용내역이 합산되어 표시되며, 신한카드에서는 개별 이용내역을 관리하고 있지 않습니다. 개별 이용내역은 모바일 티머니 앱의 ‘청구내역’에서 확인 가능합니다. "
대중교통 외 다른 곳에서도 모바일 티머니 앱 사용 가능한가요?,버스/지하철/택시 등의 대중교통 및 편의점 등에서 사용 가능합니다. 사용 가능한 가맹점은 결제 단말기 동글에 ‘T-money'란 표시가 있으며 티머니 홈페이지(www.t-money.co.kr)에서 확인하실 수 있습니다. 
모바일 티머니 앱이 정상적으로 구동되지 않습니다. ,앱 구동상의 문제는 티머니 측에 문의 바랍니다. 
교통 단말기에서 모바일 티머니 인식이 안되거나 에러가 납니다. ,"휴대폰에서 NFC 기능이 활성화 되어있는지 확인해 주십시오. NFC 기능 활성화는 휴대폰 기종별로 약간씩 다르며, 다음과 같은 방법으로 활성화 가능합니다.※ 환경설정>무선 및 네트워크>더보기>NFC 활성화NFC 기능이 활성화되어 있음에도 인식이 안될 경우 다음과 같습니다.① 휴대폰 뒷면을 교통 단말기에 올바로 접촉했는지 확인하십시오.② 휴대폰을 교통 단말기에 접촉 후 일정 시간(1~2초)이 지나 인식되는 경우가 있습니다. 휴대폰을 교통 단말기에 접촉 후 바로 멀리하시지 않았는지 확인하십시오.③ 별도로 구매하신 후면 케이스의 경우 안테나가 없어 인식되지 않는 경우가 있습니다.④ 교통단말기의 감도가 나빠 인식되지 않는 경우가 있습니다. 이런 경우 티머니 측에 문의 바랍니다. "
모바일 티머니 후불형 서비스(체크)는 모든 체크카드의 등록이 가능한가요? ,체크카드만 소지한 고객 중 체크신용한도를 보유하신 고객만 등록 가능합니다. 신용카드를 같이 보유하신 체크카드 고객은 신용카드로 등록하시기 바랍니다. 
모바일 티머니 후불형 서비스 한도가 부여되지 않고 해지됩니다. ,"모바일 티머니 앱에서 한도가 부여되지 않고 해지될 경우, 등록된 신용카드 사용한도(체크카드의 경우는 체크신용한도)가 부족하거나 카드사용정지가 걸려있지 않은 지 확인해 주십시오.만약 한도부족이나 사용정지가 아닌 경우 앱 상의 문제일 수 있으니 티머니 측에 문의 바랍니다. "
모바일 티머니 후불형 서비스 사용 금액에 제한이 있나요? ,"모바일 티머니 후불형 서비스의 1일 사용가능금액은 3만원이며, 사용가능금액 범위 내에서 사용 가능합니다. 만약 3만원을 초과하여 이용하실 경우 모바일 티머니 앱에서 ‘한도복원’ 기능을 통해 1일 2회 ‘사용가능금액’ 증액 후 이용 가능합니다. ※ 단, 카드의 사용 한도가 남아 있는 상태에서만 가능합니다. ※ 가입 후 최초 이용가능금액 부여 시 3만원의 한도가 차감됩니다. 서비스를 해지하시면 차감된 한도가 복원됩니다. "
기존 ‘모바일 티머니 자동충전 서비스’를 이용 중 ‘신한-모바일 티머니 후불형 서비스’를 이용하려면 어떻게 해야 하나요? , 기존에 이용하시던 자동충전 서비스를 모바일 티머니 앱에서 해지하신 후 모바일 티머니 앱에서 ‘신용카드 [후불] 청구방식’을 통해 가입하시면 됩니다. 만약 ‘신용카드 [후불] 청구방식’이 보이지 않으면 ‘모바일 티머니 앱을 업데이트하시면 됩니다. 
모바일 티머니 후불형 서비스 카드 등록 시 에러가 납니다. ,등록하신 카드에 사용정지가 걸려있는지 확인하시기 바랍니다. 그렇지 않은 경우 모바일 티머니 앱의 문제일 수 있으니 티머니 측에 문의하시기 바랍니다. 
모바일 티머니 후불형 서비스는 본인카드만 등록이 가능한가요? ,네. 반드시 휴대폰 명의자와 카드 명의자가 일치해야지만 등록 가능합니다. 가족카드는 가족카드 소지자와 휴대폰 명의자가 일치하는 경우만 가입이 가능합니다. 
모바일 티머니 후불형 서비스는 본인폰만 서비스 가입이 가능한가요?,네. 휴대폰 본인인증을 통해 본인 명의의 휴대폰만 가입 가능합니다. 
모바일 티머니 후불형 서비스는 모든 스마트폰에서 사용 가능한가요?,NFC 비 지원 단말기(아이폰 등)나 유심에 모바일 티머니가 탑재되지 않은 모델은 사용이 불가합니다. 유심에 모바일 티머니가 탑재되었는지 확인은 다음과 같습니다.① 스마트폰에 ‘모바일 티머니 앱’이 설치되어 있는지 여부로 확인② 스마트폰에 ‘티머니 아이콘’이 있는지 여부로 확인③ 휴대폰 유심에 ‘T-Money 로고’가 있는지 여부로 확인 
모바일티머니 자동충전 서비스는 무엇인가요? ,모바일티머니 자동충전 서비스는 모바일티머니 잔액이 일정 금액 이하로 내려가면 잔액을 자동으로 충전하는 서비스입니다. 모바일티머니 정액제 가입 후 이용 가능하며 자동충전 금액은 사용자가 설정 가능합니다. 
